OBJECTID,COUNTY,STATEFIPS,COUNTYFIPS,POP1900,POP1910,POP1920,POP1930,POP1940,POP1950,POP1960,POP1970,POP1980,POP1990,POP2000,POP2010,POP2020,EFF_DATE,REV_DATE,REV_TYPE,SQ_MILES,Shape_STAr,Shape_STLe,Household_Income,Latitude,Longitude
1,Pulaski,5119,119,63179,86751,109464,137727,156085,196685,242980,287189,340613,349660,361474,382748,399125,,,,806.81922018,2089661238.89241,284099.368352912,60385," 34°45'4.90""N","92° 17' 9"" W"
2,Van Buren,5141,141,11220,13509,13666,11962,12518,9687,7228,8275,13357,14008,16192,17295,15796,,,,723.39214351,1873568491.47696,202834.131212187,47266,"35°35'34.92""N","92°27'25.34""W"
3,Ouachita,5103,103,20892,21774,20636,29890,31151,33051,31641,30896,30541,30574,28790,26120,22650,,,,739.18247184,1914473813.19258,288802.267840784,49838," 33°34'46.54""N","92°56'6.77""W"
4,Lonoke,5085,85,22544,27983,33400,33759,29802,27278,24551,26249,34518,39268,52828,68356,74015,,,,803.05973898,2079915175.56941,246133.113063683,71449,"34°45'43.76""N","91°54'2.20""W"
5,Lawrence,5075,75,16491,20001,22098,21663,22651,21303,17267,16320,18447,17457,17774,17415,16216,,,,592.26788121,1533952426.496,208267.287105935,44164," 35°59'47.86""N","91° 8'4.01""W"
6,Nevada,5099,99,16609,19344,21934,20407,19869,14781,10700,10111,11097,10101,9955,8997,8310,,,,620.18383473,1606268757.97006,203916.143128565,41761," 33°39'44.19""N"," 93°20'19.21""W"
7,Clark,5019,19,21289,23686,25632,24932,24402,22998,20950,21537,23326,21437,23546,22995,21446,,,,882.25314395,2285025152.85166,305325.379203566,50985," 34° 1'19.58""N","93°10'38.82""W"
8,Dallas,5039,39,11518,12621,14424,14671,14471,12416,10522,10022,10515,9614,9210,8116,6482,,,,667.47322886,1728747726.48555,248330.113630219,44694," 34° 2'8.96""N","92°41'48.43""W"
9,Benton,5007,7,31611,33389,36253,35253,36148,38076,36272,50476,78115,97499,153406,221339,284333,,,,884.08398858,2289534635.7047,259120.62218415,89879,"36°15'55.07""N","94°28'48.49""W"
10,Crittenden,5035,35,14529,22447,29309,39717,42473,47184,47564,48106,49499,49939,50866,50902,48163,,,,643.48198316,1666610685.38767,252954.542887953,54271,"35°18'7.67""N","90°22'22.02""W"
11,Clay,5021,21,15886,23690,27276,27278,28386,26674,21258,18771,20616,18107,17609,16083,14552,,,,641.69324917,1661977885.62717,230199.481998132,48500,"36°20'56.51""N","90°22'29.33""W"
12,Marion,5089,89,11377,10203,10154,8876,9464,8609,6041,7000,11334,12001,16140,16653,16826,,,,639.72378877,1656877006.60018,213041.408831986,46953,"36°19'10.93""N","92°41'55.08""W"
13,Jefferson,5069,69,40972,52734,60330,64154,65101,76075,81373,85329,90718,85487,84278,77435,67260,,,,915.49637874,2371124735.67611,284952.017442329,48552," 34°13'31.05""N","91°54'53.85""W"
14,Pike,5109,109,10301,12565,12397,11792,11786,10032,7864,8711,10373,10086,11303,11291,10171,,,,613.49240848,1588938043.54534,227880.181234845,51000,"34°11'15.18""N","93°39'44.53""W"
15,Hempstead,5057,57,24101,28285,31602,30847,32770,25080,19661,19308,23635,21621,23587,22609,20065,,,,740.44133628,1917734257.13047,254776.962868562,47654," 33°39'11.85""N","93°39'30.35""W"
16,Cross,5037,37,11051,14042,18579,25723,26046,24757,19551,19783,20434,19225,19526,17870,16833,,,,622.40132317,1612012026.6546,165972.405184854,47012," 35°17'37.13""N","90°49'54.45""W"
17,Faulkner,5045,45,20780,23708,27681,28381,25880,25289,24303,31572,46192,60006,86014,113237,123498,,,,663.60818003,1718737295.97693,220192.941373785,65071," 35° 6'23.23""N","92°23'6.09""W"
18,Bradley,5011,11,9651,14518,15970,17494,18097,15987,14029,12778,13803,11793,12600,11508,10545,,,,652.40977458,1689733559.022,251245.195414359,39565,"33°30'31.11""N","92°13'24.90""W"
19,Calhoun,5013,13,8539,9894,11807,9752,9636,7132,5991,5573,6079,5826,5744,5368,4739,,,,631.93111465,1636694073.28687,257909.491128684,63654," 33°30'8.64""N","92°32'23.47""W"
20,Mississippi,5093,93,16384,30468,47320,69289,80217,82375,70174,62060,59517,57525,51979,46480,40685,,,,931.48341333,2412530965.19141,297298.13398527,53428,"35°49'39.01""N","90° 5'15.11""W"
21,Greene,5055,55,16979,23852,26105,26127,30204,29149,25198,24765,30744,31804,37331,42090,45736,,,,579.61148523,1501186855.17339,195385.883190435,56793,"36° 7'45.71""N","90°33'46.52""W"
22,Lafayette,5073,73,10594,13741,15522,16934,16851,13203,11030,10018,10213,9643,8559,7645,6308,,,,545.36469567,1412488077.40293,245087.994528284,37237," 33°15'5.48""N","93°37'20.11""W"
23,Columbia,5027,27,22077,23820,27670,27320,29822,28770,26400,25952,26644,25691,25603,24552,22801,,,,766.25029202,1984579145.6274,189841.152747408,47363,"33° 7'42.79""N","93°10'41.64""W"
24,Ashley,5003,3,19734,25268,23410,25151,26785,25660,24220,24976,26538,24319,24209,21853,19062,,,,939.9482991,2434454918.6883,238029.330992501,44481,"33° 9'17.81""N","91°45'10.56""W"
25,Chicot,5017,17,14528,21987,21749,22646,27452,22306,18990,18164,17793,15713,14117,11800,10208,,,,690.83727502,1789260328.24064,282419.511713492,39683,"33°20'29.85""N","91°17'20.61""W"
26,Cleveland,5025,25,11620,13481,12260,12744,12570,8956,6944,6605,7868,7781,8571,8689,7550,,,,598.50659697,1550124969.91719,191779.872614333,50509,"33°51'52.78""N","92°13'28.67""W"
27,Poinsett,5111,111,7025,12791,20848,29695,37670,39311,30834,26822,27032,24664,25614,24583,22965,,,,763.95842155,1978643228.33747,195978.920962118,47188,"35°35'39.17""N","90°39'24.13""W"
28,Craighead,5031,31,19505,27627,37541,44740,47200,50613,47303,52068,63239,68956,82148,96443,111231,,,,712.79945599,1846142115.81722,203047.020894227,57615,"35°50'15.62""N","90°42'18.71""W"
29,Fulton,5049,49,12917,12193,11182,10834,10253,9187,6657,7699,9975,10037,11642,12245,12075,,,,620.09849404,1606047726.58911,180209.907689604,38941,"36°22'47.88""N","91°47'33.48""W"
30,Drew,5043,43,19451,21960,21822,19928,19831,17959,15213,15157,17910,17369,18723,18509,17350,,,,835.50786297,2164051728.44153,194672.836993158,41071,"33°38'3.75""N","91°48'7.25""W"
31,Conway,5029,29,19772,22729,22578,21949,21536,18137,15430,16805,19505,19151,20336,21273,20715,,,,566.05195371,1466070630.06518,208534.691726984,51212,"35° 9'13.26""N","92°44'37.14""W"
32,Carroll,5015,15,18848,16829,17786,15820,14737,13244,11284,12301,16203,18654,25357,27446,28260,,,,638.2687324,1653156192.44446,212320.922434836,55187,"36°21'51.98""N","93°34'1.94""W"
33,Boone,5009,9,16396,14318,16098,14937,15860,16260,16116,19073,26067,28297,33948,36903,37373,,,,601.52971539,1557906632.58777,169617.095700194,54195,"36°18'40.96""N","93° 1'1.70""W"
34,Randolph,5121,121,17156,18987,17713,16871,18319,15982,12520,12645,16834,16558,18195,17969,18571,,,,655.91558956,1698788564.02662,217781.157591597,52838," 36°20'36.26""N","90°58'57.08""W"
35,Howard,5061,61,14076,16898,18565,17489,16621,13342,10878,11412,13459,13569,14300,13789,12785,,,,861.30553443,1541836185.18759,247915.165075111,44492,"34° 7'49.97""N","94° 1'43.12""W"
36,Union,5139,139,22495,30723,29691,55800,50461,49686,49518,45428,48573,46719,45629,41639,39054,,,,1054.55752066,2731306970.46778,302653.900060812,50221," 33° 8'32.80""N"," 92°32'21.91""W"
37,Sebastian,5131,131,36935,52278,56739,54426,62809,64202,66685,79237,95172,99590,115071,125744,127799,,,,544.21634596,1409365348.08208,216356.16314261,56450,"35°13'40.07""N","94°19'22.98""W"
38,Montgomery,5097,97,9444,12455,11112,10768,8876,6680,5370,5821,7771,7841,9245,9487,8484,,,,800.34862483,2072893422.15454,187323.658403199,49015,"34°32'48.41""N","93°39'38.57""W"
39,Polk,5113,113,18352,17216,16412,14857,15832,14182,11981,13297,17007,17347,20229,20662,19221,,,,861.30553443,2230833250.76777,218321.964752452,49252,"34°31'28.90""N","94° 9'5.88""W"
40,Scott,5127,127,13183,14302,13232,11803,13300,10057,7297,8207,9685,10205,10996,11233,9836,,,,897.95844092,2325630624.4795,235602.368616129,45955,"34°53'8.43""N","93°59'23.85""W"
41,Sevier,5133,133,16339,16616,18301,16364,15248,12293,10156,11272,14060,13637,15757,17058,15839,,,,581.01487991,1504654307.25549,254401.846726098,51641,"34° 1'51.26""N","94°16'28.02""W"
42,Little River,5081,81,13731,13597,16301,15515,15932,11690,9211,11194,13952,13966,13628,13171,12026,,,,563.04835767,1458266123.51275,321190.936779499,52241,"33°40'20.32""N","94° 8'0.15""W"
43,Miller,5091,91,17558,19555,24021,30586,31874,32614,31686,33385,37766,38467,40443,43462,42600,,,,638.14830961,1652820533.68417,283618.576525129,49983,"33°25'34.99""N","94° 2'18.28""W"
51,Sharp,5135,135,12199,11688,11132,10715,11497,8999,6319,8233,14607,14109,17119,17264,17271,,,,606.45256206,1570701582.2857,220045.256363455,42950,"36°18'33.35""N","91°31'39.77""W"
44,Stone,5137,137,8100,8946,8779,7993,8603,7662,6294,6838,9022,9775,11499,12394,12359,,,,609.20196228,1577862103.14536,206839.366471661,38531,"35°52'6.63""N","92° 7'13.09""W"
45,Pope,5115,115,21715,24527,27153,26547,25682,23291,21177,28607,39021,45883,54469,61754,63381,,,,829.89384071,2149420196.80331,215213.485011893,54606,"35°16'41.37""N","93° 8'1.43""W"
46,Washington,5143,143,34256,33889,35468,39255,41114,49979,55797,77370,100494,113409,157715,203065,245871,,,,951.73224993,2465019512.79268,227691.050052194,66426,"36° 3'38.71""N","94° 9'29.16""W"
