OBJECTID,COUNTY,STATEFIPS,COUNTYFIPS,POP1900,POP1910,POP1920,POP1930,POP1940,POP1950,POP1960,POP1970,POP1980,POP1990,POP2000,POP2010,POP2020,EFF_DATE,REV_DATE,REV_TYPE,SQ_MILES,Shape_STAr,Shape_STLe,Household_Income
"53",Lee,"05077","077",19409,24252,28852,26637,26810,24322,21001,18884,15539,13053,12580,10424,8600,,,,622.29722949,1611807586.04215,251954.051221059,"36860"
"54",Woodruff,"05147","147",16304,20049,21547,22682,22133,18957,13954,11566,11222,9520,8741,7260,6269,,,,594.02788718,1538533511.98509,261935.264556047,"49982"
"55",Monroe,"05095","095",16816,19907,21601,20651,21133,19540,17327,15657,14052,11333,10254,8149,6799,,,,621.13851763,1608739111.00446,246985.646479983,"43955"
"56",Phillips,"05107","107",26561,33535,44530,40683,45970,46254,43997,40046,34772,28838,26445,21757,16568,,,,727.28518393,1883594818.18028,283668.799580228,"38874"
"57",Arkansas,"05001","001",12973,16103,21483,22300,24437,23665,23355,23347,24175,21653,20749,19019,17149,,,,1038.53314751,2689788513.724,338109.14315103,"60831"
"58",Prairie,"05117","117",11875,13853,17447,15187,15304,13768,10515,10249,10140,9518,9539,8715,8282,,,,675.17117279,1748685299.91182,269114.356672979,"51094"
"59",Grant,"05053","053",7671,9425,10710,9834,10477,9024,8294,9711,13008,13948,16464,17853,17958,,,,632.55207987,1638295707.32037,192002.349606841,"72512"
"60",Desha,"05041","041",11511,15274,20297,21814,27160,25155,20770,18761,19760,16798,15341,13008,11395,,,,812.51811128,2104387811.50991,395288.82363946,"36064"
"70",Newton,"05101","101",12538,10612,11199,10564,10881,8685,5963,5844,7756,7666,8608,8330,7225,,,,822.71987985,2130815921.36932,197721.273557822,"47395"
"61",Lincoln,"05079","079",13389,15118,18774,20250,19709,17079,14447,12913,13369,13690,14492,14134,12941,,,,569.55969901,1475080986.70962,201290.348165812,"51667"
"62",Independence,"05063","063",22557,24776,23976,24225,25643,23488,20048,22723,30147,31192,34233,36647,37938,,,,771.22134859,1997492482.74506,228017.901177129,"56009"
"71",Franklin,"05047","047",17395,20638,19364,15762,15683,12358,10213,11301,14705,14897,17771,18125,17097,,,,619.7339376,1605102062.67852,219802.845534803,"51919"
"72",Johnson,"05071","071",17448,19698,21062,19289,18795,16138,12421,13630,17423,18221,22781,25540,25749,,,,683.4869793,1770210336.07761,208486.268840987,"44808"
"73",Madison,"05087","087",19864,16056,14918,13334,14531,11734,9068,9453,11373,11618,14243,15717,16521,,,,836.49572479,2166520101.50089,215268.872472706,"53888"
"75",Garland,"05051","051",18773,27271,25785,36031,41664,47102,46697,54131,70531,73397,88068,96024,100180,,,,733.90454173,1900796878.91106,198782.484111731,"55409"
"74",Hot Spring,"05059","059",12748,15022,17784,18105,18916,22181,21893,21963,26819,26115,30353,32923,33040,,,,621.74499709,1610270773.26046,219811.053502835,"52838"
